SimNumber	i	j	k	Crit_AFInit	Crit_HWRatio
212	8	0.5	0.5	0.408567	2.27138
213	8	0.5	0.5	0.45052	2.45536
214	8	0.5	0.5	0.420434	2.54138
215	8	0.5	1.0	0.426529	2.26513
216	8	0.5	1.0	0.428035	2.55864
217	8	0.5	1.0	0.407826	2.25034
218	8	1.0	0.0	0.670664	2.70167
219	8	1.0	0.0	0.66179	2.76009
220	8	1.0	0.0	0.692973	2.8082
221	8	1.0	0.5	0.676073	2.86488
222	8	1.0	0.5	0.667563	2.58991
223	8	1.0	0.5	0.708602	2.57891
224	8	1.0	1.0	0.698882	2.68856
225	8	1.0	1.0	0.695923	2.70711
226	8	1.0	1.0	0.701602	2.77386
227	10	0.5	0.0	0.383003	2.01617
228	10	0.5	0.0	0.365039	1.60809
229	10	0.5	0.0	0.343004	1.60216
230	10	0.5	0.5	0.373922	1.7328
231	10	0.5	0.5	0.379212	1.84265
232	10	0.5	0.5	0.351684	1.60035
233	10	0.5	1.0	0.370839	1.64115
234	10	0.5	1.0	0.384628	1.90307
235	10	0.5	1.0	0.381061	1.91688
236	10	1.0	0.0	0.647018	2.12936
237	10	1.0	0.0	0.675464	2.16791
238	10	1.0	0.0	0.669762	2.10979
239	10	1.0	0.5	0.656528	2.12456
240	10	1.0	0.5	0.646761	2.00234
241	10	1.0	0.5	0.644102	2.3391
242	10	1.0	1.0	0.624166	2.41193
243	10	1.0	1.0	0.664232	2.07973
244	10	1.0	1.0	0.640704	2.06256
