Index_Vertex nbTriangle nbInTr x y ux uy Elast AR BR IR GR ER FR A1 A2 B12 C3 Defxx Defxy Defyx Defyy Density 
310 0 0 3.20696 1.14277 0.0225458 0.00152297 8.65777e+06 3.61238e+07 1.63376e+07 2.98544e+06 0 2.95558e+07 0 3.61238e+07 2.95558e+07 1.63376e+07 2.98544e+06 0.00702491 0.00538599 0.00566566 0.0100657 0.00600725
309 0 1 3.12914 1.4179 0.0221138 0.00464433 1.19215e+07 4.97415e+07 2.24964e+07 4.11087e+06 0 4.06976e+07 0 4.97415e+07 4.06976e+07 2.24964e+07 4.11087e+06 0.00513419 -0.00654193 -0.00292986 0.00931089 0.00564548
308 0 2 2.90057 1.19559 0.0200625 0.0031226 4.04068e+06 1.68594e+07 7.62495e+06 1.39334e+06 0 1.37941e+07 0 1.68594e+07 1.37941e+07 7.62495e+06 1.39334e+06 0.0171027 -0.0201362 -0.00822345 0.0185314 0.00615283
306 1 0 3.05898 1.65751 0.0224946 0.00706168 1.66054e+07 6.92846e+07 3.13351e+07 5.726e+06 0 5.66874e+07 0 6.92846e+07 5.66874e+07 3.13351e+07 5.726e+06 -0.00149358 -0.00534682 -0.00650718 0.00230847 0.00519077
305 1 1 2.71416 1.47421 0.0193743 0.00860663 1.07236e+07 4.47431e+07 2.02358e+07 3.69778e+06 0 3.6608e+07 0 4.47431e+07 3.6608e+07 2.02358e+07 3.69778e+06 0.00637301 -0.00746878 0.00452294 0.00700533 0.00574739
309 1 2 3.12914 1.4179 0.0221138 0.00464433 1.19215e+07 4.97415e+07 2.24964e+07 4.11087e+06 0 4.06976e+07 0 4.97415e+07 4.06976e+07 2.24964e+07 4.11087e+06 0.00513419 -0.00654193 -0.00292986 0.00931089 0.00564548
301 2 0 2.83363 1.727 0.0214662 0.00934611 1.0282e+07 4.29006e+07 1.94025e+07 3.5455e+06 0 3.51005e+07 0 4.29006e+07 3.51005e+07 1.94025e+07 3.5455e+06 0.00731761 -0.0122535 -0.00420268 0.00636314 0.00510758
305 2 1 2.71416 1.47421 0.0193743 0.00860663 1.07236e+07 4.47431e+07 2.02358e+07 3.69778e+06 0 3.6608e+07 0 4.47431e+07 3.6608e+07 2.02358e+07 3.69778e+06 0.00637301 -0.00746878 0.00452294 0.00700533 0.00574739
306 2 2 3.05898 1.65751 0.0224946 0.00706168 1.66054e+07 6.92846e+07 3.13351e+07 5.726e+06 0 5.66874e+07 0 6.92846e+07 5.66874e+07 3.13351e+07 5.726e+06 -0.00149358 -0.00534682 -0.00650718 0.00230847 0.00519077
298 3 0 2.30748 1.6237 0.0156794 0.0159326 7.30747e+06 3.04898e+07 1.37895e+07 2.51982e+06 0 2.49462e+07 0 3.04898e+07 2.49462e+07 1.37895e+07 2.51982e+06 0.00778679 -0.00541875 -0.00290103 0.0126488 0.00608742
297 3 1 2.3513 1.30284 0.0155917 0.0105259 6.75102e+06 2.81681e+07 1.27395e+07 2.32794e+06 0 2.30466e+07 0 2.81681e+07 2.30466e+07 1.27395e+07 2.32794e+06 0.00984988 -0.0119996 0.0070904 0.0144694 0.00708823
305 3 2 2.71416 1.47421 0.0193743 0.00860663 1.07236e+07 4.47431e+07 2.02358e+07 3.69778e+06 0 3.6608e+07 0 4.47431e+07 3.6608e+07 2.02358e+07 3.69778e+06 0.00637301 -0.00746878 0.00452294 0.00700533 0.00574739
304 4 0 2.70769 0.921041 0.0179544 0.00154056 1.88685e+06 7.8727e+06 3.56056e+06 650637 0 6.4413e+06 0 7.8727e+06 6.4413e+06 3.56056e+06 650637 0.0170329 -0.013227 0.000491838 0.0141374 0.00730534
