Index_Vertex nbTriangle nbInTr x y ux uy Elast AR BR IR GR ER FR A1 A2 B12 C3 Defxx Defxy Defyx Defyy Density 
2 0 0 -0.840375 0.149967 -0.00331346 0.00150363 1.9769e+07 8.24844e+07 3.7305e+07 6.81689e+06 0 6.74872e+07 0 8.24844e+07 6.74872e+07 3.7305e+07 6.81689e+06 0.00208736 0.00431522 -0.0122229 0.00646362 0.0812044
1 0 1 -1 1.0777e-25 3.95245e-27 1.39575e-26 2.16167e+07 9.01938e+07 4.07917e+07 7.45403e+06 0 7.37949e+07 0 9.01938e+07 7.37949e+07 4.07917e+07 7.45403e+06 0.00459515 0.00548284 -0.0389494 4.83666e-06 0.0935218
4 0 2 -0.714286 3.48593e-25 -7.54862e-27 4.8253e-26 4.49605e+06 1.87594e+07 8.48426e+06 1.55036e+06 0 1.53486e+07 0 1.87594e+07 1.53486e+07 8.48426e+06 1.55036e+06 7.17765e-26 6.46832e-25 -0.0245178 0.0208317 0.0937418
2 1 0 -0.840375 0.149967 -0.00331346 0.00150363 1.9769e+07 8.24844e+07 3.7305e+07 6.81689e+06 0 6.74872e+07 0 8.24844e+07 6.74872e+07 3.7305e+07 6.81689e+06 0.00208736 0.00431522 -0.0122229 0.00646362 0.0812044
0 1 1 -1.02719 0.184015 -0.00444462 0.00046954 1.22991e+07 5.13168e+07 2.32089e+07 4.24105e+06 0 4.19864e+07 0 5.13168e+07 4.19864e+07 2.32089e+07 4.24105e+06 0.00565335 0.00939336 -0.0117506 0.0080102 0.0793352
1 1 2 -1 1.0777e-25 3.95245e-27 1.39575e-26 2.16167e+07 9.01938e+07 4.07917e+07 7.45403e+06 0 7.37949e+07 0 9.01938e+07 7.37949e+07 4.07917e+07 7.45403e+06 0.00459515 0.00548284 -0.0389494 4.83666e-06 0.0935218
7 2 0 -0.649647 0.25195 -0.00364182 0.00303603 1.67353e+07 6.98265e+07 3.15802e+07 5.77078e+06 0 5.71308e+07 0 6.98265e+07 5.71308e+07 3.15802e+07 5.77078e+06 0.0037558 0.00221375 -0.00965818 0.0057101 0.0732682
2 2 1 -0.840375 0.149967 -0.00331346 0.00150363 1.9769e+07 8.24844e+07 3.7305e+07 6.81689e+06 0 6.74872e+07 0 8.24844e+07 6.74872e+07 3.7305e+07 6.81689e+06 0.00208736 0.00431522 -0.0122229 0.00646362 0.0812044
4 2 2 -0.714286 3.48593e-25 -7.54862e-27 4.8253e-26 4.49605e+06 1.87594e+07 8.48426e+06 1.55036e+06 0 1.53486e+07 0 1.87594e+07 1.53486e+07 8.48426e+06 1.55036e+06 7.17765e-26 6.46832e-25 -0.0245178 0.0208317 0.0937418
7 3 0 -0.649647 0.25195 -0.00364182 0.00303603 1.67353e+07 6.98265e+07 3.15802e+07 5.77078e+06 0 5.71308e+07 0 6.98265e+07 5.71308e+07 3.15802e+07 5.77078e+06 0.0037558 0.00221375 -0.00965818 0.0057101 0.0732682
