SimNumber	i	j	k	Crit_AFInit	Crit_HWRatio
1	5	0.05	1.5	3.80299	1.14105
2	5	0.05	1.5	3.56316	1.07714
3	5	0.05	2.	2.40084	1.02529
4	5	0.05	2.	2.1656	1.27305
5	5	0.05	3.	1.31078	1.10843
6	5	0.05	3.	1.31957	1.0384
7	5	0.1	1.5	0.048024	2.35114
8	5	0.1	1.5	0.038655	2.24284
9	5	0.1	2.	0.0104109	2.65264
10	5	0.1	2.	0.00326786	2.45246
11	5	0.1	3.	0.000407523	2.29793
12	5	0.1	3.	0.000467495	2.4306
13	5	0.2	1.5	0.198766	3.48338
14	5	0.2	1.5	0.173643	3.30814
15	5	0.2	2.	0.217773	3.47573
16	5	0.2	2.	0.203438	3.36547
17	5	0.2	3.	0.268428	3.47852
18	5	0.2	3.	0.266714	3.39842
22	6	0.05	2.	3.19602	1.11552
23	6	0.05	3.	1.69512	1.31575
24	6	0.05	3.	2.16317	0.44873
25	6	0.1	1.5	0.106392	1.94578
26	6	0.1	1.5	0.113103	1.88825
27	6	0.1	2.	0.0196478	2.09804
28	6	0.1	2.	0.0485179	1.75641
29	6	0.1	3.	0.00437658	1.88741
30	6	0.1	3.	0.00802583	1.67843
31	6	0.2	1.5	0.162289	2.86064
32	6	0.2	1.5	0.154656	2.74503
33	6	0.2	2.	0.183216	2.752
34	6	0.2	2.	0.190921	2.74734
35	6	0.2	3.	0.234068	2.98686
36	6	0.2	3.	0.200835	2.81375
43	7	0.1	1.5	0.263144	1.42782
44	7	0.1	1.5	0.235795	1.40384
45	7	0.1	2.	0.110755	1.48954
46	7	0.1	2.	0.11022	1.29162
47	7	0.1	3.	0.048664	1.39734
48	7	0.1	3.	0.024152	1.36487
49	7	0.2	1.5	0.1262	2.48552
50	7	0.2	1.5	0.10515	2.2532
51	7	0.2	2.	0.150732	2.29306
52	7	0.2	2.	0.15449	2.2769
53	7	0.2	3.	0.203753	2.4451
54	7	0.2	3.	0.185095	2.2894
