Index_Vertex nbTriangle nbInTr x y ux uy Elast AR BR IR GR ER FR A1 A2 B12 C3 Defxx Defxy Defyx Defyy Density 
838 0 0 1.34014 15.1854 0.107388 0.253347 1.42638e+07 5.95147e+07 2.69165e+07 4.91857e+06 0 4.86938e+07 0 5.95147e+07 4.86938e+07 2.69165e+07 4.91857e+06 0.0050469 -0.00908884 7.75454e-05 0.00691215 8.61436e-05
814 0 1 1.07861 15.056 0.10586 0.254875 1.23835e+07 5.1669e+07 2.33682e+07 4.27017e+06 0 4.22746e+07 0 5.1669e+07 4.22746e+07 2.33682e+07 4.27017e+06 0.00460235 -0.0198869 0.00604446 0.00868426 8.89723e-05
839 0 2 1.40455 14.841 0.106176 0.249811 9.18544e+06 3.83254e+07 1.73333e+07 3.16739e+06 0 3.13572e+07 0 3.83254e+07 3.13572e+07 1.73333e+07 3.16739e+06 0.00752032 -0.00550748 0.010249 0.0112503 8.72417e-05
863 1 0 1.70831 15.0172 0.108776 0.249577 1.72389e+07 7.19277e+07 3.25305e+07 5.94444e+06 0 5.88499e+07 0 7.19277e+07 5.88499e+07 3.25305e+07 5.94444e+06 0.00383272 -0.00558489 0.0028459 0.00579727 8.38623e-05
861 1 1 1.61745 15.2763 0.108059 0.252353 8.44075e+06 3.52183e+07 1.59281e+07 2.9106e+06 0 2.8815e+07 0 3.52183e+07 2.8815e+07 1.59281e+07 2.9106e+06 0.00498153 -0.00307564 -0.00849275 0.0134286 8.36604e-05
838 1 2 1.34014 15.1854 0.107388 0.253347 1.42638e+07 5.95147e+07 2.69165e+07 4.91857e+06 0 4.86938e+07 0 5.95147e+07 4.86938e+07 2.69165e+07 4.91857e+06 0.0050469 -0.00908884 7.75454e-05 0.00691215 8.61436e-05
814 2 0 1.07861 15.056 0.10586 0.254875 1.23835e+07 5.1669e+07 2.33682e+07 4.27017e+06 0 4.22746e+07 0 5.1669e+07 4.22746e+07 2.33682e+07 4.27017e+06 0.00460235 -0.0198869 0.00604446 0.00868426 8.89723e-05
813 2 1 1.11933 14.6889 0.103514 0.251543 1.90327e+07 7.94122e+07 3.59155e+07 6.56299e+06 0 6.49736e+07 0 7.94122e+07 6.49736e+07 3.59155e+07 6.56299e+06 0.00305658 -0.0123065 0.00803669 0.00416462 9.11459e-05
839 2 2 1.40455 14.841 0.106176 0.249811 9.18544e+06 3.83254e+07 1.73333e+07 3.16739e+06 0 3.13572e+07 0 3.83254e+07 3.13572e+07 1.73333e+07 3.16739e+06 0.00752032 -0.00550748 0.010249 0.0112503 8.72417e-05
864 3 0 2.06379 14.5086 0.107808 0.242994 1.31864e+07 5.50191e+07 2.48833e+07 4.54703e+06 0 4.50156e+07 0 5.50191e+07 4.50156e+07 2.48833e+07 4.54703e+06 0.00499555 -0.00935686 0.00589998 0.00849675 8.44592e-05
860 3 1 2.14327 14.1852 0.105875 0.240424 3.57456e+07 1.49145e+08 6.74536e+07 1.23261e+07 0 1.22028e+08 0 1.49145e+08 1.22028e+08 6.74536e+07 1.23261e+07 0.00121967 -0.00978129 0.00523545 0.0022913 8.71714e-05
881 3 2 2.4506 14.4391 0.109253 0.240251 1.29821e+07 5.41665e+07 2.44977e+07 4.47657e+06 0 4.43181e+07 0 5.41665e+07 4.43181e+07 2.44977e+07 4.47657e+06 0.00493912 0.00319984 0.0131419 0.00953173 8.23403e-05
862 4 0 1.72402 14.6495 0.106645 0.246421 9.88324e+06 4.1237e+07 1.86501e+07 3.40801e+06 0 3.37393e+07 0 4.1237e+07 3.37393e+07 1.86501e+07 3.40801e+06 0.00664171 -0.00291865 0.00563662 0.0105281 8.60148e-05
864 4 1 2.06379 14.5086 0.107808 0.242994 1.31864e+07 5.50191e+07 2.48833e+07 4.54703e+06 0 4.50156e+07 0 5.50191e+07 4.50156e+07 2.48833e+07 4.54703e+06 0.00499555 -0.00935686 0.00589998 0.00849675 8.44592e-05
883 4 2 2.01428 14.8485 0.109444 0.246497 1.48232e+07 6.18486e+07 2.79721e+07 5.11146e+06 0 5.06034e+07 0 6.18486e+07 5.06034e+07 2.79721e+07 5.11146e+06 0.00466896 -0.00648533 0.00445274 0.00797614 8.21961e-05
863 5 0 1.70831 15.0172 0.108776 0.249577 1.72389e+07 7.19277e+07 3.25305e+07 5.94444e+06 0 5.88499e+07 0 7.19277e+07 5.88499e+07 3.25305e+07 5.94444e+06 0.00383272 -0.00558489 0.0028459 0.00579727 8.38623e-05
862 5 1 1.72402 14.6495 0.106645 0.246421 9.88324e+06 4.1237e+07 1.86501e+07 3.40801e+06 0 3.37393e+07 0 4.1237e+07 3.37393e+07 1.86501e+07 3.40801e+06 0.00664171 -0.00291865 0.00563662 0.0105281 8.60148e-05
883 5 2 2.01428 14.8485 0.109444 0.246497 1.48232e+07 6.18486e+07 2.79721e+07 5.11146e+06 0 5.06034e+07 0 6.18486e+07 5.06034e+07 2.79721e+07 5.11146e+06 0.00466896 -0.00648533 0.00445274 0.00797614 8.21961e-05
837 6 0 1.41116 14.4645 0.103884 0.24615 1.31302e+07 5.47848e+07 2.47774e+07 4.52767e+06 0 4.48239e+07 0 5.47848e+07 4.48239e+07 2.47774e+07 4.52767e+06 0.00509887 -0.0115807 0.000456984 0.00824843 9.01769e-05
