Index_Vertex nbTriangle nbInTr x y ux uy Elast AR BR IR GR ER FR A1 A2 B12 C3 Defxx Defxy Defyx Defyy Density 
33 0 0 -0.828654 0.193184 -0.00480439 0.00349751 1.41519e+07 5.90474e+07 2.67052e+07 4.87995e+06 0 4.83115e+07 0 5.90474e+07 4.83115e+07 2.67052e+07 4.87995e+06 0.00441845 -0.00113641 -0.00490796 0.00746224 0.0796305
32 0 1 -1 1.13058e-25 8.03521e-27 2.10721e-26 3.63935e+06 1.51849e+07 6.86762e+06 1.25495e+06 0 1.2424e+07 0 1.51849e+07 1.2424e+07 6.86762e+06 1.25495e+06 0.00963617 0.0138781 -0.0624639 0.0203075 0.0955956
29 0 2 -0.714286 3.66353e-25 -1.42583e-26 3.74364e-26 1.76256e+06 7.35411e+06 3.32602e+06 607778 0 6.017e+06 0 7.35411e+06 6.017e+06 3.32602e+06 607778 -7.08406e-18 5.8137e-18 -0.0281553 0.0245507 0.0951808
33 1 0 -0.828654 0.193184 -0.00480439 0.00349751 1.41519e+07 5.90474e+07 2.67052e+07 4.87995e+06 0 4.83115e+07 0 5.90474e+07 4.83115e+07 2.67052e+07 4.87995e+06 0.00441845 -0.00113641 -0.00490796 0.00746224 0.0796305
35 1 1 -1.01949 0.239228 -0.00597626 0.00342114 9.83886e+06 4.10518e+07 1.85664e+07 3.39271e+06 0 3.35878e+07 0 4.10518e+07 3.35878e+07 1.85664e+07 3.39271e+06 0.00547649 0.00654158 -0.0049838 0.0116227 0.0778683
32 1 2 -1 1.13058e-25 8.03521e-27 2.10721e-26 3.63935e+06 1.51849e+07 6.86762e+06 1.25495e+06 0 1.2424e+07 0 1.51849e+07 1.2424e+07 6.86762e+06 1.25495e+06 0.00963617 0.0138781 -0.0624639 0.0203075 0.0955956
30 2 0 -0.643031 0.343859 -0.00329148 0.00492556 6.69559e+06 2.79368e+07 1.26349e+07 2.30882e+06 0 2.28573e+07 0 2.79368e+07 2.28573e+07 1.26349e+07 2.30882e+06 0.007994 -0.0103085 0.00323481 0.0108354 0.0688779
33 2 1 -0.828654 0.193184 -0.00480439 0.00349751 1.41519e+07 5.90474e+07 2.67052e+07 4.87995e+06 0 4.83115e+07 0 5.90474e+07 4.83115e+07 2.67052e+07 4.87995e+06 0.00441845 -0.00113641 -0.00490796 0.00746224 0.0796305
29 2 2 -0.714286 3.66353e-25 -1.42583e-26 3.74364e-26 1.76256e+06 7.35411e+06 3.32602e+06 607778 0 6.017e+06 0 7.35411e+06 6.017e+06 3.32602e+06 607778 -7.08406e-18 5.8137e-18 -0.0281553 0.0245507 0.0951808
30 3 0 -0.643031 0.343859 -0.00329148 0.00492556 6.69559e+06 2.79368e+07 1.26349e+07 2.30882e+06 0 2.28573e+07 0 2.79368e+07 2.28573e+07 1.26349e+07 2.30882e+06 0.007994 -0.0103085 0.00323481 0.0108354 0.0688779
34 3 1 -0.931727 0.504801 -0.00516081 0.00671161 9.00897e+06 3.75891e+07 1.70003e+07 3.10654e+06 0 3.07548e+07 0 3.75891e+07 3.07548e+07 1.70003e+07 3.10654e+06 0.00791446 -0.00271417 0.00669974 0.0118926 0.0650104
33 3 2 -0.828654 0.193184 -0.00480439 0.00349751 1.41519e+07 5.90474e+07 2.67052e+07 4.87995e+06 0 4.83115e+07 0 5.90474e+07 4.83115e+07 2.67052e+07 4.87995e+06 0.00441845 -0.00113641 -0.00490796 0.00746224 0.0796305
26 4 0 -0.339736 0.323294 -0.00177277 0.00296301 1.81672e+07 7.58009e+07 3.42823e+07 6.26454e+06 0 6.20189e+07 0 7.58009e+07 6.20189e+07 3.42823e+07 6.26454e+06 0.00226717 -0.00133904 0.000400258 0.00824788 0.068005
30 4 1 -0.643031 0.343859 -0.00329148 0.00492556 6.69559e+06 2.79368e+07 1.26349e+07 2.30882e+06 0 2.28573e+07 0 2.79368e+07 2.28573e+07 1.26349e+07 2.30882e+06 0.007994 -0.0103085 0.00323481 0.0108354 0.0688779
25 4 2 -0.428571 3.45882e-25 -9.68417e-27 5.91856e-26 1.55691e+07 6.49606e+07 2.93795e+07 5.36864e+06 0 5.31495e+07 0 6.49606e+07 5.31495e+07 2.93795e+07 5.36864e+06 7.08406e-18 -5.8137e-18 -0.0135081 0.00964317 0.0938189
0 5 0 1 9.51963e-26 -5.88179e-27 1.49877e-26 1.33562e+07 5.57276e+07 2.52037e+07 4.60558e+06 0 4.55953e+07 0 5.57276e+07 4.55953e+07 2.52037e+07 4.60558e+06 -1.50628e-25 -1.08708e-24 0.0407627 0.00924185 0.0954938
1 5 1 1.0227 0.209409 0.00567744 0.00172058 6.25054e+06 2.60798e+07 1.1795e+07 2.15536e+06 0 2.1338e+07 0 2.60798e+07 2.1338e+07 1.1795e+07 2.15536e+06 0.00943592 -0.00212491 0.00952776 0.0115766 0.0795024
2 5 2 0.836353 0.122432 0.0032658 0.00148122 1.45294e+07 6.06228e+07 2.74177e+07 5.01015e+06 0 4.96005e+07 0 6.06228e+07 4.96005e+07 2.74177e+07 5.01015e+06 0.00407564 -0.00454653 0.0180337 0.00887777 0.0848023
7 6 0 0.744777 0.300438 0.00456466 0.00349997 1.72979e+07 7.2174e+07 3.26419e+07 5.96479e+06 0 5.90514e+07 0 7.2174e+07 5.90514e+07 3.26419e+07 5.96479e+06 0.00339846 -0.00534714 0.00285596 0.00818811 0.0720802
1 6 1 1.0227 0.209409 0.00567744 0.00172058 6.25054e+06 2.60798e+07 1.1795e+07 2.15536e+06 0 2.1338e+07 0 2.60798e+07 2.1338e+07 1.1795e+07 2.15536e+06 0.00943592 -0.00212491 0.00952776 0.0115766 0.0795024
3 6 2 0.968461 0.424755 0.00557519 0.00376067 1.79419e+07 7.48611e+07 3.38572e+07 6.18687e+06 0 6.125e+07 0 7.48611e+07 6.125e+07 3.38572e+07 6.18687e+06 0.00383004 -0.000181017 0.000394991 0.00595275 0.0685387
8 7 0 0.636353 0.520234 0.0042457 0.0059563 1.66781e+07 6.95878e+07 3.14723e+07 5.75106e+06 0 5.69355e+07 0 6.95878e+07 5.69355e+07 3.14723e+07 5.75106e+06 0.00308309 -0.00714514 0.00266784 0.00620306 0.0603228
3 7 1 0.968461 0.424755 0.00557519 0.00376067 1.79419e+07 7.48611e+07 3.38572e+07 6.18687e+06 0 6.125e+07 0 7.48611e+07 6.125e+07 3.38572e+07 6.18687e+06 0.00383004 -0.000181017 0.000394991 0.00595275 0.0685387
4 7 2 0.847531 0.646471 0.00539944 0.0053401 1.91794e+07 8.00242e+07 3.61923e+07 6.61357e+06 0 6.54744e+07 0 8.00242e+07 6.54744e+07 3.61923e+07 6.61357e+06 0.00340522 -0.00405378 0.00342449 0.00591289 0.059251
8 8 0 0.636353 0.520234 0.0042457 0.0059563 1.66781e+07 6.95878e+07 3.14723e+07 5.75106e+06 0 5.69355e+07 0 6.95878e+07 5.69355e+07 3.14723e+07 5.75106e+06 0.00308309 -0.00714514 0.00266784 0.00620306 0.0603228
4 8 1 0.847531 0.646471 0.00539944 0.0053401 1.91794e+07 8.00242e+07 3.61923e+07 6.61357e+06 0 6.54744e+07 0 8.00242e+07 6.54744e+07 3.61923e+07 6.61357e+06 0.00340522 -0.00405378 0.00342449 0.00591289 0.059251
5 8 2 0.708921 0.809653 0.00511801 0.00748675 1.17733e+07 4.91232e+07 2.22168e+07 4.05977e+06 0 4.01917e+07 0 4.91232e+07 4.01917e+07 2.22168e+07 4.05977e+06 0.00477799 -0.0167125 0.00138913 0.0103549 0.0537919
9 9 0 0.47081 0.75341 0.00317812 0.00878182 6.02191e+06 2.51259e+07 1.13636e+07 2.07652e+06 0 2.05576e+07 0 2.51259e+07 2.05576e+07 1.13636e+07 2.07652e+06 0.0115304 0.000280683 -0.00144989 0.0131586 0.0516402
13 9 1 0.347631 0.507622 0.00200057 0.00601982 6.76416e+06 2.82229e+07 1.27643e+07 2.33247e+06 0 2.30914e+07 0 2.82229e+07 2.30914e+07 1.27643e+07 2.33247e+06 0.0114503 0.00835021 0.00311191 0.0108445 0.0585783
8 9 2 0.636353 0.520234 0.0042457 0.0059563 1.66781e+07 6.95878e+07 3.14723e+07 5.75106e+06 0 5.69355e+07 0 6.95878e+07 5.69355e+07 3.14723e+07 5.75106e+06 0.00308309 -0.00714514 0.00266784 0.00620306 0.0603228
10 10 0 0.362517 1.02154 0.00167448 0.0107405 1.21809e+07 5.08237e+07 2.29859e+07 4.20031e+06 0 4.1583e+07 0 5.08237e+07 4.1583e+07 2.29859e+07 4.20031e+06 0.00567267 0.0140246 -0.00504318 0.0076639 0.0473154
9 10 1 0.47081 0.75341 0.00317812 0.00878182 6.02191e+06 2.51259e+07 1.13636e+07 2.07652e+06 0 2.05576e+07 0 2.51259e+07 2.05576e+07 1.13636e+07 2.07652e+06 0.0115304 0.000280683 -0.00144989 0.0131586 0.0516402
5 10 2 0.708921 0.809653 0.00511801 0.00748675 1.17733e+07 4.91232e+07 2.22168e+07 4.05977e+06 0 4.01917e+07 0 4.91232e+07 4.01917e+07 2.22168e+07 4.05977e+06 0.00477799 -0.0167125 0.00138913 0.0103549 0.0537919
14 11 0 0.222466 0.775496 0.00139046 0.00754576 1.81806e+07 7.58571e+07 3.43077e+07 6.26919e+06 0 6.20649e+07 0 7.58571e+07 6.20649e+07 3.43077e+07 6.26919e+06 0.00400532 0.00647698 0.00161678 0.00623013 0.0494918
13 11 1 0.347631 0.507622 0.00200057 0.00601982 6.76416e+06 2.82229e+07 1.27643e+07 2.33247e+06 0 2.30914e+07 0 2.82229e+07 2.30914e+07 1.27643e+07 2.33247e+06 0.0114503 0.00835021 0.00311191 0.0108445 0.0585783
9 11 2 0.47081 0.75341 0.00317812 0.00878182 6.02191e+06 2.51259e+07 1.13636e+07 2.07652e+06 0 2.05576e+07 0 2.51259e+07 2.05576e+07 1.13636e+07 2.07652e+06 0.0115304 0.000280683 -0.00144989 0.0131586 0.0516402
12 12 0 0.502769 0.25372 0.00280592 0.00379303 4.17575e+06 1.7423e+07 7.87983e+06 1.43991e+06 0 1.42552e+07 0 1.7423e+07 1.42552e+07 7.87983e+06 1.43991e+06 0.0134447 0.00606161 0.00575567 0.015502 0.0732371
7 12 1 0.744777 0.300438 0.00456466 0.00349997 1.72979e+07 7.2174e+07 3.26419e+07 5.96479e+06 0 5.90514e+07 0 7.2174e+07 5.90514e+07 3.26419e+07 5.96479e+06 0.00339846 -0.00534714 0.00285596 0.00818811 0.0720802
8 12 2 0.636353 0.520234 0.0042457 0.0059563 1.66781e+07 6.95878e+07 3.14723e+07 5.75106e+06 0 5.69355e+07 0 6.95878e+07 5.69355e+07 3.14723e+07 5.75106e+06 0.00308309 -0.00714514 0.00266784 0.00620306 0.0603228
6 13 0 0.714286 3.496e-25 5.52616e-27 5.57635e-26 8.19112e+06 3.41767e+07 1.5457e+07 2.82452e+06 0 2.79628e+07 0 3.41767e+07 2.79628e+07 1.5457e+07 2.82452e+06 -4.47661e-26 -4.82289e-25 0.0287249 0.018392 0.0949827
7 13 1 0.744777 0.300438 0.00456466 0.00349997 1.72979e+07 7.2174e+07 3.26419e+07 5.96479e+06 0 5.90514e+07 0 7.2174e+07 5.90514e+07 3.26419e+07 5.96479e+06 0.00339846 -0.00534714 0.00285596 0.00818811 0.0720802
12 13 2 0.502769 0.25372 0.00280592 0.00379303 4.17575e+06 1.7423e+07 7.87983e+06 1.43991e+06 0 1.42552e+07 0 1.7423e+07 1.42552e+07 7.87983e+06 1.43991e+06 0.0134447 0.00606161 0.00575567 0.015502 0.0732371
2 14 0 0.836353 0.122432 0.0032658 0.00148122 1.45294e+07 6.06228e+07 2.74177e+07 5.01015e+06 0 4.96005e+07 0 6.06228e+07 4.96005e+07 2.74177e+07 5.01015e+06 0.00407564 -0.00454653 0.0180337 0.00887777 0.0848023
1 14 1 1.0227 0.209409 0.00567744 0.00172058 6.25054e+06 2.60798e+07 1.1795e+07 2.15536e+06 0 2.1338e+07 0 2.60798e+07 2.1338e+07 1.1795e+07 2.15536e+06 0.00943592 -0.00212491 0.00952776 0.0115766 0.0795024
7 14 2 0.744777 0.300438 0.00456466 0.00349997 1.72979e+07 7.2174e+07 3.26419e+07 5.96479e+06 0 5.90514e+07 0 7.2174e+07 5.90514e+07 3.26419e+07 5.96479e+06 0.00339846 -0.00534714 0.00285596 0.00818811 0.0720802
6 15 0 0.714286 3.496e-25 5.52616e-27 5.57635e-26 8.19112e+06 3.41767e+07 1.5457e+07 2.82452e+06 0 2.79628e+07 0 3.41767e+07 2.79628e+07 1.5457e+07 2.82452e+06 -4.47661e-26 -4.82289e-25 0.0287249 0.018392 0.0949827
2 15 1 0.836353 0.122432 0.0032658 0.00148122 1.45294e+07 6.06228e+07 2.74177e+07 5.01015e+06 0 4.96005e+07 0 6.06228e+07 4.96005e+07 2.74177e+07 5.01015e+06 0.00407564 -0.00454653 0.0180337 0.00887777 0.0848023
7 15 2 0.744777 0.300438 0.00456466 0.00349997 1.72979e+07 7.2174e+07 3.26419e+07 5.96479e+06 0 5.90514e+07 0 7.2174e+07 5.90514e+07 3.26419e+07 5.96479e+06 0.00339846 -0.00534714 0.00285596 0.00818811 0.0720802
6 16 0 0.714286 3.496e-25 5.52616e-27 5.57635e-26 8.19112e+06 3.41767e+07 1.5457e+07 2.82452e+06 0 2.79628e+07 0 3.41767e+07 2.79628e+07 1.5457e+07 2.82452e+06 -4.47661e-26 -4.82289e-25 0.0287249 0.018392 0.0949827
0 16 1 1 9.51963e-26 -5.88179e-27 1.49877e-26 1.33562e+07 5.57276e+07 2.52037e+07 4.60558e+06 0 4.55953e+07 0 5.57276e+07 4.55953e+07 2.52037e+07 4.60558e+06 -1.50628e-25 -1.08708e-24 0.0407627 0.00924185 0.0954938
2 16 2 0.836353 0.122432 0.0032658 0.00148122 1.45294e+07 6.06228e+07 2.74177e+07 5.01015e+06 0 4.96005e+07 0 6.06228e+07 4.96005e+07 2.74177e+07 5.01015e+06 0.00407564 -0.00454653 0.0180337 0.00887777 0.0848023
14 17 0 0.222466 0.775496 0.00139046 0.00754576 1.81806e+07 7.58571e+07 3.43077e+07 6.26919e+06 0 6.20649e+07 0 7.58571e+07 6.20649e+07 3.43077e+07 6.26919e+06 0.00400532 0.00647698 0.00161678 0.00623013 0.0494918
9 17 1 0.47081 0.75341 0.00317812 0.00878182 6.02191e+06 2.51259e+07 1.13636e+07 2.07652e+06 0 2.05576e+07 0 2.51259e+07 2.05576e+07 1.13636e+07 2.07652e+06 0.0115304 0.000280683 -0.00144989 0.0131586 0.0516402
10 17 2 0.362517 1.02154 0.00167448 0.0107405 1.21809e+07 5.08237e+07 2.29859e+07 4.20031e+06 0 4.1583e+07 0 5.08237e+07 4.1583e+07 2.29859e+07 4.20031e+06 0.00567267 0.0140246 -0.00504318 0.0076639 0.0473154
12 18 0 0.502769 0.25372 0.00280592 0.00379303 4.17575e+06 1.7423e+07 7.87983e+06 1.43991e+06 0 1.42552e+07 0 1.7423e+07 1.42552e+07 7.87983e+06 1.43991e+06 0.0134447 0.00606161 0.00575567 0.015502 0.0732371
11 18 1 0.428571 3.64095e-25 2.09312e-27 3.91703e-26 7.84884e+06 3.27486e+07 1.48111e+07 2.7065e+06 0 2.67943e+07 0 3.27486e+07 2.67943e+07 1.48111e+07 2.7065e+06 7.13967e-26 -7.19338e-25 0.00581714 0.0145351 0.0936487
6 18 2 0.714286 3.496e-25 5.52616e-27 5.57635e-26 8.19112e+06 3.41767e+07 1.5457e+07 2.82452e+06 0 2.79628e+07 0 3.41767e+07 2.79628e+07 1.5457e+07 2.82452e+06 -4.47661e-26 -4.82289e-25 0.0287249 0.018392 0.0949827
3 19 0 0.968461 0.424755 0.00557519 0.00376067 1.79419e+07 7.48611e+07 3.38572e+07 6.18687e+06 0 6.125e+07 0 7.48611e+07 6.125e+07 3.38572e+07 6.18687e+06 0.00383004 -0.000181017 0.000394991 0.00595275 0.0685387
8 19 1 0.636353 0.520234 0.0042457 0.0059563 1.66781e+07 6.95878e+07 3.14723e+07 5.75106e+06 0 5.69355e+07 0 6.95878e+07 5.69355e+07 3.14723e+07 5.75106e+06 0.00308309 -0.00714514 0.00266784 0.00620306 0.0603228
7 19 2 0.744777 0.300438 0.00456466 0.00349997 1.72979e+07 7.2174e+07 3.26419e+07 5.96479e+06 0 5.90514e+07 0 7.2174e+07 5.90514e+07 3.26419e+07 5.96479e+06 0.00339846 -0.00534714 0.00285596 0.00818811 0.0720802
17 20 0 0.221774 0.263308 0.000583166 0.00303748 1.26682e+07 5.28569e+07 2.39054e+07 4.36834e+06 0 4.32465e+07 0 5.28569e+07 4.32465e+07 2.39054e+07 4.36834e+06 0.00261474 0.000158421 0.0012457 0.00918633 0.0716014
19 20 1 0.0594778 0.549099 0.000331897 0.0053779 1.83215e+07 7.64448e+07 3.45735e+07 6.31775e+06 0 6.25457e+07 0 7.64448e+07 6.25457e+07 3.45735e+07 6.31775e+06 0.00432953 0.00105041 0.00227171 0.00579443 0.0561382
22 20 2 -0.0638585 0.303398 -0.000609539 0.00321332 1.04165e+07 4.3462e+07 1.96564e+07 3.5919e+06 0 3.55598e+07 0 4.3462e+07 3.55598e+07 1.96564e+07 3.5919e+06 0.00567143 0.00313846 0.0013874 0.00934903 0.0686578
8 21 0 0.636353 0.520234 0.0042457 0.0059563 1.66781e+07 6.95878e+07 3.14723e+07 5.75106e+06 0 5.69355e+07 0 6.95878e+07 5.69355e+07 3.14723e+07 5.75106e+06 0.00308309 -0.00714514 0.00266784 0.00620306 0.0603228
13 21 1 0.347631 0.507622 0.00200057 0.00601982 6.76416e+06 2.82229e+07 1.27643e+07 2.33247e+06 0 2.30914e+07 0 2.82229e+07 2.30914e+07 1.27643e+07 2.33247e+06 0.0114503 0.00835021 0.00311191 0.0108445 0.0585783
12 21 2 0.502769 0.25372 0.00280592 0.00379303 4.17575e+06 1.7423e+07 7.87983e+06 1.43991e+06 0 1.42552e+07 0 1.7423e+07 1.42552e+07 7.87983e+06 1.43991e+06 0.0134447 0.00606161 0.00575567 0.015502 0.0732371
8 22 0 0.636353 0.520234 0.0042457 0.0059563 1.66781e+07 6.95878e+07 3.14723e+07 5.75106e+06 0 5.69355e+07 0 6.95878e+07 5.69355e+07 3.14723e+07 5.75106e+06 0.00308309 -0.00714514 0.00266784 0.00620306 0.0603228
