Index_Vertex nbTriangle nbInTr x y ux uy Elast AR BR IR GR ER FR A1 A2 B12 C3 Defxx Defxy Defyx Defyy Density 
5 0 0 -0.918794 0.226165 -0.00293077 0.00120466 1.7717e+07 7.39228e+07 3.34328e+07 6.10932e+06 0 6.04823e+07 0 7.39228e+07 6.04823e+07 3.34328e+07 6.10932e+06 0.00332031 -0.000127556 -0.0076234 0.00677319 0.109942
11 0 1 -0.8 1.51504e-24 -7.31123e-27 3.73632e-26 3.41849e+07 1.42633e+08 6.45084e+07 1.17879e+07 0 1.167e+08 0 1.42633e+08 1.167e+08 6.45084e+07 1.17879e+07 -4.9489e-26 5.57075e-25 -0.0146273 0.00368747 0.128987
12 0 2 -0.717918 0.21691 -0.00202191 0.00118409 1.10594e+07 4.61446e+07 2.08697e+07 3.8136e+06 0 3.77546e+07 0 4.61446e+07 3.77546e+07 2.08697e+07 3.8136e+06 0.00567735 0.00197674 -0.00599247 0.00705924 0.111601
11 1 0 -0.8 1.51504e-24 -7.31123e-27 3.73632e-26 3.41849e+07 1.42633e+08 6.45084e+07 1.17879e+07 0 1.167e+08 0 1.42633e+08 1.167e+08 6.45084e+07 1.17879e+07 -4.9489e-26 5.57075e-25 -0.0146273 0.00368747 0.128987
5 1 1 -0.918794 0.226165 -0.00293077 0.00120466 1.7717e+07 7.39228e+07 3.34328e+07 6.10932e+06 0 6.04823e+07 0 7.39228e+07 6.04823e+07 3.34328e+07 6.10932e+06 0.00332031 -0.000127556 -0.0076234 0.00677319 0.109942
4 1 2 -1 4.84669e-25 1.8013e-27 1.56229e-26 1.12352e+07 4.68781e+07 2.12014e+07 3.87422e+06 0 3.83548e+07 0 4.68781e+07 3.83548e+07 2.12014e+07 3.87422e+06 0.00547103 0.0065319 -0.0228498 0.00474314 0.124913
12 2 0 -0.717918 0.21691 -0.00202191 0.00118409 1.10594e+07 4.61446e+07 2.08697e+07 3.8136e+06 0 3.77546e+07 0 4.61446e+07 3.77546e+07 2.08697e+07 3.8136e+06 0.00567735 0.00197674 -0.00599247 0.00705924 0.111601
11 2 1 -0.8 1.51504e-24 -7.31123e-27 3.73632e-26 3.41849e+07 1.42633e+08 6.45084e+07 1.17879e+07 0 1.167e+08 0 1.42633e+08 1.167e+08 6.45084e+07 1.17879e+07 -4.9489e-26 5.57075e-25 -0.0146273 0.00368747 0.128987
19 2 2 -0.6 1.49388e-24 -1.2061e-27 3.33206e-26 2.52761e+07 1.05463e+08 4.76972e+07 8.71591e+06 0 8.62875e+07 0 1.05463e+08 8.62875e+07 4.76972e+07 8.71591e+06 6.87075e-05 0.000409194 -0.0095267 0.00515564 0.130276
5 3 0 -0.918794 0.226165 -0.00293077 0.00120466 1.7717e+07 7.39228e+07 3.34328e+07 6.10932e+06 0 6.04823e+07 0 7.39228e+07 6.04823e+07 3.34328e+07 6.10932e+06 0.00332031 -0.000127556 -0.0076234 0.00677319 0.109942
1 3 1 -1.06295 0.464254 -0.0057073 0.00163807 8.09745e+06 3.37859e+07 1.52803e+07 2.79222e+06 0 2.7643e+07 0 3.37859e+07 2.7643e+07 1.52803e+07 2.79222e+06 0.00796841 0.0144564 -0.0157168 0.0132906 0.0996721
0 3 2 -1.0977 0.221533 -0.00329886 1.59142e-06 5.40497e+07 2.25518e+08 1.01994e+08 1.86378e+07 0 1.84515e+08 0 2.25518e+08 1.84515e+08 1.01994e+08 1.86378e+07 -5.66985e-05 0.010788 -0.00454466 0.00290936 0.108871
4 4 0 -1 4.84669e-25 1.8013e-27 1.56229e-26 1.12352e+07 4.68781e+07 2.12014e+07 3.87422e+06 0 3.83548e+07 0 4.68781e+07 3.83548e+07 2.12014e+07 3.87422e+06 0.00547103 0.0065319 -0.0228498 0.00474314 0.124913
5 4 1 -0.918794 0.226165 -0.00293077 0.00120466 1.7717e+07 7.39228e+07 3.34328e+07 6.10932e+06 0 6.04823e+07 0 7.39228e+07 6.04823e+07 3.34328e+07 6.10932e+06 0.00332031 -0.000127556 -0.0076234 0.00677319 0.109942
0 4 2 -1.0977 0.221533 -0.00329886 1.59142e-06 5.40497e+07 2.25518e+08 1.01994e+08 1.86378e+07 0 1.84515e+08 0 2.25518e+08 1.84515e+08 1.01994e+08 1.86378e+07 -5.66985e-05 0.010788 -0.00454466 0.00290936 0.108871
13 5 0 -0.63261 0.425004 -0.00211175 0.00335815 8.01459e+06 3.34402e+07 1.51239e+07 2.76365e+06 0 2.73602e+07 0 3.34402e+07 2.73602e+07 1.51239e+07 2.76365e+06 0.00765472 -0.000287237 -0.00157287 0.00992559 0.0994735
21 5 1 -0.416773 0.439353 -0.000999536 0.00269291 2.20044e+07 9.18114e+07 4.15233e+07 7.58772e+06 0 7.51184e+07 0 9.18114e+07 7.51184e+07 4.15233e+07 7.58772e+06 0.00281103 -0.00687988 -0.000828966 0.00515868 0.0984372
14 5 2 -0.54209 0.632777 -0.00167533 0.00463318 1.94658e+07 8.12195e+07 3.67329e+07 6.71236e+06 0 6.64523e+07 0 8.12195e+07 6.64523e+07 3.67329e+07 6.71236e+06 0.00122949 -0.00938497 -0.00207126 0.00653329 0.0904866
12 6 0 -0.717918 0.21691 -0.00202191 0.00118409 1.10594e+07 4.61446e+07 2.08697e+07 3.8136e+06 0 3.77546e+07 0 4.61446e+07 3.77546e+07 2.08697e+07 3.8136e+06 0.00567735 0.00197674 -0.00599247 0.00705924 0.111601
13 6 1 -0.63261 0.425004 -0.00211175 0.00335815 8.01459e+06 3.34402e+07 1.51239e+07 2.76365e+06 0 2.73602e+07 0 3.34402e+07 2.73602e+07 1.51239e+07 2.76365e+06 0.00765472 -0.000287237 -0.00157287 0.00992559 0.0994735
6 6 2 -0.850569 0.43589 -0.00392511 0.00286596 1.25883e+07 5.25235e+07 2.37546e+07 4.34078e+06 0 4.29738e+07 0 5.25235e+07 4.29738e+07 2.37546e+07 4.34078e+06 0.00575074 9.82773e-05 -0.0108328 0.00428515 0.0994607
12 7 0 -0.717918 0.21691 -0.00202191 0.00118409 1.10594e+07 4.61446e+07 2.08697e+07 3.8136e+06 0 3.77546e+07 0 4.61446e+07 3.77546e+07 2.08697e+07 3.8136e+06 0.00567735 0.00197674 -0.00599247 0.00705924 0.111601
20 7 1 -0.507649 0.217985 -0.00104512 0.00156649 1.34322e+07 5.60445e+07 2.53471e+07 4.63178e+06 0 4.58546e+07 0 5.60445e+07 4.58546e+07 2.53471e+07 4.63178e+06 0.00413955 0.000623573 -0.00161256 0.00758663 0.112026
13 7 2 -0.63261 0.425004 -0.00211175 0.00335815 8.01459e+06 3.34402e+07 1.51239e+07 2.76365e+06 0 2.73602e+07 0 3.34402e+07 2.73602e+07 1.51239e+07 2.76365e+06 0.00765472 -0.000287237 -0.00157287 0.00992559 0.0994735
6 8 0 -0.850569 0.43589 -0.00392511 0.00286596 1.25883e+07 5.25235e+07 2.37546e+07 4.34078e+06 0 4.29738e+07 0 5.25235e+07 4.29738e+07 2.37546e+07 4.34078e+06 0.00575074 9.82773e-05 -0.0108328 0.00428515 0.0994607
7 8 1 -0.760746 0.626019 -0.00296575 0.00581626 2.76737e+06 1.15466e+07 5.22215e+06 954264 0 9.44722e+06 0 1.15466e+07 9.44722e+06 5.22215e+06 954264 0.0105175 -0.00193641 0.00389052 0.00964454 0.0920282
2 8 2 -0.976828 0.668877 -0.00589416 0.00691723 2.26608e+06 9.45501e+06 4.27619e+06 781406 0 7.73592e+06 0 9.45501e+06 7.73592e+06 4.27619e+06 781406 0.0182699 -0.0016244 0.0266222 0.0217798 0.0930429
5 9 0 -0.918794 0.226165 -0.00293077 0.00120466 1.7717e+07 7.39228e+07 3.34328e+07 6.10932e+06 0 6.04823e+07 0 7.39228e+07 6.04823e+07 3.34328e+07 6.10932e+06 0.00332031 -0.000127556 -0.0076234 0.00677319 0.109942
6 9 1 -0.850569 0.43589 -0.00392511 0.00286596 1.25883e+07 5.25235e+07 2.37546e+07 4.34078e+06 0 4.29738e+07 0 5.25235e+07 4.29738e+07 2.37546e+07 4.34078e+06 0.00575074 9.82773e-05 -0.0108328 0.00428515 0.0994607
1 9 2 -1.06295 0.464254 -0.0057073 0.00163807 8.09745e+06 3.37859e+07 1.52803e+07 2.79222e+06 0 2.7643e+07 0 3.37859e+07 2.7643e+07 1.52803e+07 2.79222e+06 0.00796841 0.0144564 -0.0157168 0.0132906 0.0996721
5 10 0 -0.918794 0.226165 -0.00293077 0.00120466 1.7717e+07 7.39228e+07 3.34328e+07 6.10932e+06 0 6.04823e+07 0 7.39228e+07 6.04823e+07 3.34328e+07 6.10932e+06 0.00332031 -0.000127556 -0.0076234 0.00677319 0.109942
12 10 1 -0.717918 0.21691 -0.00202191 0.00118409 1.10594e+07 4.61446e+07 2.08697e+07 3.8136e+06 0 3.77546e+07 0 4.61446e+07 3.77546e+07 2.08697e+07 3.8136e+06 0.00567735 0.00197674 -0.00599247 0.00705924 0.111601
6 10 2 -0.850569 0.43589 -0.00392511 0.00286596 1.25883e+07 5.25235e+07 2.37546e+07 4.34078e+06 0 4.29738e+07 0 5.25235e+07 4.29738e+07 2.37546e+07 4.34078e+06 0.00575074 9.82773e-05 -0.0108328 0.00428515 0.0994607
27 11 0 -0.4 1.52248e-24 9.27172e-28 3.50781e-26 1.70927e+07 7.1318e+07 3.22548e+07 5.89405e+06 0 5.83511e+07 0 7.1318e+07 5.83511e+07 3.22548e+07 5.89405e+06 -3.1031e-26 8.597e-25 -0.00513897 0.00916633 0.130774
20 11 1 -0.507649 0.217985 -0.00104512 0.00156649 1.34322e+07 5.60445e+07 2.53471e+07 4.63178e+06 0 4.58546e+07 0 5.60445e+07 4.58546e+07 2.53471e+07 4.63178e+06 0.00413955 0.000623573 -0.00161256 0.00758663 0.112026
