Index_Vertex nbTriangle nbInTr x y ux uy Elast AR BR IR GR ER FR A1 A2 B12 C3 Defxx Defxy Defyx Defyy Density 
95 0 0 1.5388 0.463302 0.00777275 0.00377413 3.29443e+07 1.37457e+08 6.21673e+07 1.13601e+07 0 1.12465e+08 0 1.37457e+08 1.12465e+08 6.21673e+07 1.13601e+07 0.00196907 -0.00566005 0.00334178 0.00291264 0.0308351
103 0 1 1.82628 0.221307 0.00970917 0.00130511 8.41595e+06 3.51148e+07 1.58813e+07 2.90205e+06 0 2.87303e+07 0 3.51148e+07 2.87303e+07 1.58813e+07 2.90205e+06 0.00649434 -0.00252294 -0.0127876 0.00988925 0.0302372
101 0 2 1.87027 0.507129 0.0090835 0.00309299 1.47182e+07 6.14106e+07 2.7774e+07 5.07525e+06 0 5.0245e+07 0 6.14106e+07 5.0245e+07 2.7774e+07 5.07525e+06 0.00527275 -0.00115688 0.00595261 0.00530798 0.0282948
94 1 0 1.62161 0.784478 0.00849965 0.00538435 9.18365e+06 3.8318e+07 1.733e+07 3.16678e+06 0 3.13511e+07 0 3.8318e+07 3.13511e+07 1.733e+07 3.16678e+06 0.00537032 -0.00272901 -0.00149558 0.00974522 0.0264349
101 1 1 1.87027 0.507129 0.0090835 0.00309299 1.47182e+07 6.14106e+07 2.7774e+07 5.07525e+06 0 5.0245e+07 0 6.14106e+07 5.0245e+07 2.7774e+07 5.07525e+06 0.00527275 -0.00115688 0.00595261 0.00530798 0.0282948
102 1 2 1.88025 0.796146 0.0100974 0.00505782 1.50938e+07 6.29776e+07 2.84827e+07 5.20476e+06 0 5.15272e+07 0 6.29776e+07 5.15272e+07 2.84827e+07 5.20476e+06 0.00446153 -0.00161682 -0.000211238 0.00693069 0.0256482
96 2 0 1.55983 0.116093 0.00906961 0.000670017 2.10666e+06 8.78988e+06 3.97537e+06 726436 0 7.19172e+06 0 8.78988e+06 7.19172e+06 3.97537e+06 726436 0.0144616 0.0123936 -0.0056145 0.0390537 0.0337733
103 2 1 1.82628 0.221307 0.00970917 0.00130511 8.41595e+06 3.51148e+07 1.58813e+07 2.90205e+06 0 2.87303e+07 0 3.51148e+07 2.87303e+07 1.58813e+07 2.90205e+06 0.00649434 -0.00252294 -0.0127876 0.00988925 0.0302372
95 2 2 1.5388 0.463302 0.00777275 0.00377413 3.29443e+07 1.37457e+08 6.21673e+07 1.13601e+07 0 1.12465e+08 0 1.37457e+08 1.12465e+08 6.21673e+07 1.13601e+07 0.00196907 -0.00566005 0.00334178 0.00291264 0.0308351
95 3 0 1.5388 0.463302 0.00777275 0.00377413 3.29443e+07 1.37457e+08 6.21673e+07 1.13601e+07 0 1.12465e+08 0 1.37457e+08 1.12465e+08 6.21673e+07 1.13601e+07 0.00196907 -0.00566005 0.00334178 0.00291264 0.0308351
