frontArrHeightIni	fAspeed	fAElastFactor
2	0.025	1.
2	0.025	2.
2	0.025	10.
2	0.05	1.
2	0.05	2.
2	0.05	10.
2	0.1	1.
2	0.1	2.
2	0.1	10.
4	0.025	1.
4	0.025	2.
4	0.025	10.
4	0.05	1.
4	0.05	2.
4	0.05	10.
4	0.1	1.
4	0.1	2.
4	0.1	10.
6	0.025	1.
6	0.025	2.
6	0.025	10.
6	0.05	1.
6	0.05	2.
6	0.05	10.
6	0.1	1.
6	0.1	2.
6	0.1	10.
